id,clonesize,honeybee,bumbles,andrena,osmia,MaxOfUpperTRange,AverageOfUpperTRange,RainingDays,fruitset,fruitmass,seeds,yield
722,25,0.5,0.25,0.63,0.63,86,71.9,1,0.422547698,0.414830175,32.29905902,4576.10071
723,12.5,0.25,0.38,0.63,0.63,94.6,79,1,0.577201619,0.483787993,39.8226933,7163.9441
724,25,0.5,0.25,0.63,0.75,77.4,64.7,16,0.582482579,0.486931048,40.73826603,7301.10622
725,12.5,0.25,0.25,0.75,0.75,69.7,58.2,16,0.523845567,0.440241496,36.96933887,7617.39589
726,12.5,0.25,0.25,0.25,0.25,77.4,64.7,1,0.536899811,0.467854471,37.55556802,6117.4759
727,25,0.5,0.38,0.5,0.75,77.4,64.7,24,0.544644313,0.449545727,37.81761708,7417.81497
728,25,0.5,0.38,0.5,0.75,94.6,79,24,0.435969213,0.425220363,33.3532206,4234.86859
729,12.5,0.25,0.25,0.25,0.25,94.6,79,34,0.39936701,0.402105764,31.88184658,4225.96131
730,12.5,0.25,0.25,0.75,0.63,69.7,58.2,24,0.596036127,0.493257523,40.86547798,7565.10416
731,12.5,0.25,0.25,0.5,0.75,94.6,79,24,0.480072982,0.440375173,35.43484314,5807.00693
732,12.5,0.25,0.25,0.25,0.25,94.6,79,34,0.375383664,0.39604355,31.55529388,4057.55521
733,25,0.5,0.38,0.5,0.75,86,71.9,24,0.564794821,0.467852649,39.82088488,6482.70572
734,12.5,0.25,0.25,0.38,0.25,69.7,58.2,24,0.517169415,0.43226586,36.31013579,6115.94707
735,25,0.25,0.25,0.25,0.25,86,71.9,24,0.288159094,0.359458632,29.28899894,2625.26916
736,12.5,0.25,0.25,0.25,0.5,69.7,58.2,1,0.523845567,0.438026493,35.48700839,7048.87072
737,12.5,0.25,0.25,0.63,0.63,86,71.9,16,0.58492102,0.492641907,40.57450377,7071.61532
738,12.5,0.25,0.25,0.38,0.38,86,71.9,34,0.385021951,0.377915162,29.83315835,4357.82292
739,25,0.5,0.38,0.5,0.75,86,71.9,1,0.642881721,0.519455977,45.40338621,8743.52098
740,25,0.5,0.25,0.75,0.5,77.4,64.7,16,0.444479717,0.417915449,33.221987,5033.68556
741,12.5,0.25,0.25,0.38,0.75,77.4,64.7,34,0.489635345,0.434863988,34.89511705,5675.72149
742,25,0.5,0.25,0.63,0.63,86,71.9,24,0.461465413,0.433195442,34.35665515,5665.2196
743,25,0.5,0.25,0.5,0.5,86,71.9,34,0.450102564,0.420093742,32.514844,1945.53061
744,25,0.5,0.25,0.63,0.75,69.7,58.2,16,0.483671436,0.439422701,34.13758465,5531.35174
745,12.5,0.25,0.25,0.5,0.63,77.4,64.7,16,0.523845567,0.460305334,37.45346655,6301.03442
746,25,0.5,0.25,0.38,0.63,77.4,64.7,1,0.640742728,0.511116064,44.2785829,8711.20896
747,12.5,0.25,0.25,0.38,0.5,86,71.9,1,0.652144089,0.642881721,45.48708185,8711.20896
748,25,0.5,0.25,0.75,0.5,69.7,58.2,24,0.498657334,0.424874062,35.8744954,6125.69538
749,25,0.5,0.25,0.38,0.5,86,71.9,16,0.371183688,0.394606103,30.66218699,3983.09785
750,25,0.5,0.38,0.38,0.5,86,71.9,16,0.532728714,0.445134287,36.81018683,6806.49269
751,25,0.5,0.25,0.38,0.75,69.7,58.2,16,0.384646205,0.383563534,29.84228529,3804.61017
752,12.5,0.25,0.25,0.75,0.5,77.4,64.7,16,0.498657334,0.448597173,36.83081961,5739.68029
753,25,0.5,0.25,0.75,0.75,77.4,64.7,24,0.532227877,0.45782887,37.3001964,7130.83001
754,25,0.5,0.38,0.5,0.5,94.6,79,1,0.462996546,0.433668483,35.11807556,5601.20531
755,25,0.5,0.38,0.38,0.75,77.4,64.7,1,0.615611893,0.51715975,44.59947057,8652.04334
756,25,0.5,0.25,0.75,0.63,69.7,58.2,1,0.350136522,0.388819023,28.13589892,3276.36206
757,12.5,0.25,0.25,0.63,0.75,69.7,58.2,1,0.498696418,0.424902006,35.98855463,5964.79111
758,12.5,0.25,0.25,0.75,0.75,86,71.9,1,0.58249065,0.485989695,40.03902035,7608.62182
759,12.5,0.25,0.25,0.5,0.5,69.7,58.2,16,0.53513718,0.446570029,36.9753139,6948.2288
760,25,0.5,0.25,0.38,0.5,77.4,64.7,34,0.496019026,0.445587455,35.48700839,5865.38472
761,25,0.5,0.38,0.38,0.5,69.7,58.2,24,0.533196209,0.431201835,35.98855463,6626.50685
762,12.5,0.25,0.25,0.63,0.5,94.6,79,1,0.55599359,0.477126551,39.33777176,7357.3589
763,25,0.5,0.25,0.75,0.63,86,71.9,16,0.507541905,0.429710486,35.6972028,5811.21147
764,12.5,0.25,0.25,0.75,0.75,69.7,58.2,16,0.595273348,0.494164753,41.19101338,7270.31832
765,25,0.5,0.25,0.63,0.5,77.4,64.7,34,0.451910565,0.424609234,33.48611213,4936.01177
766,12.5,0.25,0.38,0.38,0.5,69.7,58.2,24,0.544644313,0.44252903,35.18441169,7048.87072
767,25,0.5,0.38,0.38,0.5,86,71.9,16,0.383581787,0.39604355,30.27510191,3948.98691
768,12.5,0.25,0.38,0.38,0.75,77.4,64.7,24,0.631033926,0.501568683,44.99434918,8562.37077
769,12.5,0.25,0.25,0.75,0.5,69.7,58.2,1,0.56383312,0.471189418,40.03902035,7416.70776
770,12.5,0.25,0.25,0.25,0.5,69.7,58.2,1,0.581744319,0.495799217,41.44744954,7399.87589
771,25,0.5,0.25,0.63,0.75,77.4,64.7,34,0.447040787,0.42727728,31.90931611,4868.21145
772,25,0.5,0.38,0.5,0.63,77.4,64.7,1,0.619006054,0.511116064,44.99434918,8621.81568
773,25,0.5,0.38,0.38,0.75,86,71.9,24,0.459356717,0.423763672,33.31223192,4789.59697
774,12.5,0.25,0.25,0.25,0.75,77.4,64.7,16,0.532482559,0.465952713,37.53578671,6376.66256
775,25,0.25,0.25,0.25,0.5,69.7,58.2,34,0.377011619,0.383563534,27.3454535,3238.02815
776,12.5,0.25,0.25,0.38,0.75,77.4,64.7,1,0.520180895,0.488527456,40.2744187,7576.39253
777,25,0.5,0.25,0.5,0.75,77.4,64.7,34,0.583378727,0.484307576,40.39944387,7415.89441
778,25,0.5,0.38,0.5,0.5,94.6,79,24,0.592156153,0.485912698,40.56148952,7575.80124
779,12.5,0.25,0.25,0.38,0.25,77.4,64.7,16,0.595052932,0.494588902,41.97181605,7019.69438
780,25,0.25,0.25,0.25,0.25,86,71.9,24,0.450822025,0.420598245,34.05729766,4947.60566
781,25,0.5,0.25,0.75,0.5,77.4,64.7,16,0.517993775,0.465157167,37.96058614,6451.10052
782,25,0.5,0.38,0.5,0.75,86,71.9,1,0.585313688,0.492641907,40.35118636,7793.44206
783,25,0.5,0.25,0.38,0.75,86,71.9,1,0.507541905,0.459420676,36.68258785,6198.06496
784,25,0.5,0.38,0.38,0.63,69.7,58.2,16,0.546003143,0.477940817,38.13019216,6958.17479
785,12.5,0.25,0.38,0.5,0.5,86,71.9,34,0.574708327,0.485989695,39.92972033,7317.95104
786,12.5,0.25,0.25,0.63,0.5,94.6,79,16,0.509782413,0.453821541,36.2629303,6109.85047
787,25,0.5,0.25,0.75,0.5,77.4,64.7,24,0.566355374,0.460322355,37.20361319,6276.41054
788,25,0.5,0.38,0.5,0.5,94.6,79,16,0.402052391,0.401091418,30.5797224,4572.12637
789,25,0.5,0.38,0.5,0.75,94.6,79,1,0.546275069,0.455614374,36.84586824,6524.29532
790,25,0.5,0.38,0.5,0.5,77.4,64.7,34,0.376670148,0.394606103,29.05187144,4234.86859
791,12.5,0.25,0.25,0.5,0.75,86,71.9,24,0.468832886,0.436042539,33.85831713,5695.56442
792,25,0.5,0.38,0.38,0.75,86,71.9,1,0.501777434,0.458966196,37.02918026,5948.11447
793,12.5,0.25,0.25,0.75,0.75,94.6,79,16,0.551234401,0.471871207,37.20361319,6626.50685
794,25,0.5,0.25,0.38,0.75,86,71.9,16,0.54259037,0.479866804,39.83192591,7369.68559
795,25,0.5,0.25,0.63,0.5,94.6,79,24,0.410253857,0.40248084,31.59741611,4684.89321
796,25,0.5,0.25,0.38,0.63,94.6,79,34,0.446141264,0.425245072,33.99420814,4813.45285
797,12.5,0.25,0.25,0.25,0.5,86,71.9,1,0.520180895,0.460305334,37.87903588,6467.65476
798,12.5,0.25,0.25,0.25,0.25,86,71.9,34,0.483872542,0.442865602,35.46687387,5732.24032
799,12.5,0.25,0.38,0.5,0.75,69.7,58.2,1,0.607679197,0.452320672,42.33928002,7617.39589
800,12.5,0.25,0.38,0.38,0.5,69.7,58.2,16,0.451083154,0.405558182,32.02764698,5424.12351
801,12.5,0.25,0.25,0.38,0.38,94.6,79,24,0.488014406,0.428118259,33.22890035,5601.20531
802,25,0.5,0.38,0.38,0.75,86,71.9,24,0.551234401,0.471828735,39.04659266,7007.66825
803,25,0.5,0.38,0.63,0.75,77.4,64.7,1,0.582604099,0.48881217,40.2744187,7483.73632
804,25,0.5,0.38,0.5,0.5,77.4,64.7,1,0.641617746,0.529501569,44.59947057,8254.05731
805,25,0.5,0.25,0.25,0.63,69.7,58.2,24,0.425493214,0.413380913,31.87518207,4898.83586
806,12.5,0.25,0.25,0.38,0.75,77.4,64.7,24,0.481472551,0.440675594,34.80492047,5746.77703
807,37.5,0.25,0.25,0.25,0.25,86,71.9,16,0.284442614,0.352186419,26.28235597,2625.26916
808,25,0.5,0.38,0.38,0.63,69.7,58.2,24,0.390657895,0.373012567,29.73999168,3834.5748
809,25,0.5,0.25,0.75,0.63,86,71.9,16,0.429210588,0.403129918,31.59741611,4580.393
810,25,0.5,0.38,0.38,0.63,94.6,79,1,0.498793068,0.449545727,35.64822051,5946.15842
811,12.5,0.25,0.25,0.25,0.25,77.4,64.7,24,0.489823352,0.442535249,35.82485206,5552.72387
812,25,0.25,0.25,0.25,0.25,77.4,64.7,34,0.38895631,0.37863215,29.05187144,5830.89362
813,12.5,0.25,0.25,0.38,0.5,69.7,58.2,34,0.460960916,0.398804938,32.81196654,1945.53061
814,25,0.5,0.25,0.75,0.75,94.6,79,16,0.483872542,0.44549439,35.89837298,5718.40817
815,25,0.5,0.25,0.5,0.63,94.6,79,24,0.449875425,0.426678021,33.52074419,4930.61903
816,25,0.5,0.25,0.5,0.75,86,71.9,1,0.519208599,0.524273231,42.13008169,7924.51678
817,25,0.5,0.38,0.38,0.75,94.6,79,24,0.447040787,0.406869398,31.55298278,5996.07855
818,25,0.5,0.38,0.5,0.63,77.4,64.7,24,0.500058984,0.442248924,35.97225667,5556.3746
819,12.5,0.25,0.25,0.5,0.75,94.6,79,24,0.506742719,0.446912521,35.59821657,5971.39402
820,25,0.5,0.25,0.63,0.5,69.7,58.2,16,0.535894701,0.442111609,36.34050331,6941.82413
821,12.5,0.25,0.25,0.38,0.5,69.7,58.2,34,0.487117428,0.412661872,33.84753901,5914.16491
822,25,0.5,0.38,0.5,0.5,69.7,58.2,16,0.645640994,0.504526655,44.59947057,8465.88563
823,25,0.5,0.25,0.5,0.63,77.4,64.7,34,0.372318474,0.395435754,30.27510191,3387.78516
824,25,0.5,0.38,0.38,0.63,94.6,79,1,0.596551315,0.494895461,41.94865711,7541.6674
825,12.5,0.25,0.38,0.5,0.75,94.6,79,34,0.566645314,0.460796109,37.02918026,6526.98819
826,25,0.5,0.25,0.5,0.63,77.4,64.7,34,0.427020997,0.405898222,32.27459053,4228.81888
827,25,0.5,0.38,0.38,0.5,77.4,64.7,24,0.483872542,0.44549439,34.87598919,5575.39447
828,12.5,0.25,0.25,0.5,0.5,77.4,64.7,24,0.481204499,0.445238125,35.93380223,5914.16491
829,25,0.5,0.25,0.63,0.63,86,71.9,1,0.642881721,0.501877874,45.48708185,8570.91353
830,25,0.5,0.38,0.38,0.63,86,71.9,34,0.476911433,0.438669933,34.70241183,5498.43844
831,12.5,0.25,0.25,0.75,0.5,77.4,64.7,16,0.364564858,0.388819023,28.13589892,3385.36422
832,25,0.5,0.25,0.5,0.5,86,71.9,16,0.509933842,0.454917386,36.98857322,6072.83443
833,12.5,0.25,0.25,0.75,0.5,69.7,58.2,24,0.473142233,0.437354261,35.16668937,5649.03716
834,25,0.5,0.25,0.63,0.75,86,71.9,34,0.531891546,0.466492143,37.03329756,6747.59779
835,25,0.5,0.25,0.5,0.63,69.7,58.2,34,0.468921469,0.43226586,34.77712169,5695.56442
836,12.5,0.25,0.25,0.25,0.75,77.4,64.7,16,0.542133036,0.467558508,37.32322478,6475.89456
837,37.5,0.25,0.25,0.25,0.25,94.6,79,24,0.370946044,0.364725785,28.88711983,3895.62684
838,12.5,0.25,0.25,0.25,0.63,69.7,58.2,16,0.502785174,0.450498441,36.25083805,6071.2289
839,25,0.25,0.25,0.25,0.25,77.4,64.7,34,0.403217329,0.403128905,31.74970088,4278.76321
840,12.5,0.25,0.25,0.25,0.5,86,71.9,16,0.335529768,0.35441498,27.62154773,3238.02815
841,12.5,0.25,0.38,0.63,0.5,94.6,79,16,0.595306377,0.495898084,41.55016374,7290.10652
842,37.5,0.25,0.25,0.25,0.25,94.6,79,34,0.354086468,0.388525442,28.55641695,3396.72989
843,12.5,0.25,0.38,0.38,0.5,94.6,79,16,0.599556267,0.495006371,44.57214339,8064.73881
844,12.5,0.25,0.25,0.38,0.5,69.7,58.2,24,0.444479717,0.413096652,33.33119375,5042.64034
845,25,0.5,0.38,0.5,0.5,86,71.9,34,0.423038771,0.414272565,32.66436708,4999.15621
846,25,0.5,0.38,0.5,0.75,86,71.9,24,0.410652063,0.408610007,29.07835591,3837.51296
847,12.5,0.25,0.25,0.38,0.63,69.7,58.2,34,0.444908279,0.413096652,35.11807556,5016.74159
848,12.5,0.25,0.25,0.75,0.75,69.7,58.2,34,0.458581988,0.391524096,31.1279858,5864.12845
849,12.5,0.25,0.38,0.38,0.63,94.6,79,16,0.598814008,0.490981116,41.71941614,7536.09687
850,25,0.5,0.25,0.5,0.5,86,71.9,1,0.464365879,0.437062839,34.70241183,5205.3203
851,25,0.5,0.25,0.5,0.63,86,71.9,34,0.393394771,0.408088064,31.13021301,4234.86859
852,25,0.5,0.25,0.63,0.75,69.7,58.2,16,0.546275069,0.451012573,36.95787336,7483.73632
853,25,0.25,0.25,0.25,0.25,94.6,79,24,0.363981224,0.399556226,30.27510191,3748.46547
854,25,0.5,0.25,0.63,0.5,94.6,79,24,0.534251703,0.467854471,37.07093657,6731.61844
855,25,0.5,0.25,0.63,0.75,69.7,58.2,1,0.542163836,0.448463132,40.17143065,7381.3794
856,12.5,0.25,0.25,0.25,0.25,69.7,58.2,34,0.410253857,0.403310637,31.86773783,4225.96131
857,12.5,0.25,0.25,0.5,0.5,69.7,58.2,24,0.572611128,0.449871489,40.54647951,7024.74836
858,25,0.5,0.25,0.63,0.63,77.4,64.7,1,0.564981991,0.477438541,39.15823782,7502.24389
859,12.5,0.25,0.25,0.5,0.75,94.6,79,1,0.620391949,0.528322189,44.62396561,8284.85461
860,12.5,0.25,0.25,0.38,0.25,94.6,79,34,0.320417393,0.367762987,27.8743632,3049.39771
861,12.5,0.25,0.25,0.5,0.75,77.4,64.7,24,0.523845567,0.460322355,37.77937909,6026.06365
862,25,0.5,0.38,0.38,0.75,94.6,79,1,0.610321439,0.503663416,42.16770498,7895.0208
863,12.5,0.25,0.25,0.38,0.5,77.4,64.7,16,0.507541905,0.450498441,36.49496278,6182.75087
864,12.5,0.25,0.38,0.38,0.75,77.4,64.7,1,0.638323095,0.524904141,45.718182,8671.71681
865,12.5,0.25,0.25,0.25,0.38,86,71.9,24,0.565085745,0.46618285,38.54027918,6663.00068
866,12.5,0.25,0.25,0.38,0.38,69.7,58.2,1,0.584016198,0.490357436,41.52614508,7576.39253
867,25,0.5,0.25,0.63,0.63,77.4,64.7,34,0.464365879,0.406618165,32.27459053,5449.4212
868,25,0.5,0.25,0.63,0.63,77.4,64.7,16,0.468305902,0.434349356,33.94201411,5291.89688
869,12.5,0.25,0.25,0.63,0.5,77.4,64.7,1,0.563746659,0.486003684,39.44864975,7207.4203
870,12.5,0.25,0.25,0.63,0.63,94.6,79,16,0.578114733,0.48651762,40.55501923,7103.50894
871,25,0.5,0.25,0.38,0.75,69.7,58.2,34,0.478615886,0.42727728,34.0390339,5453.99382
872,12.5,0.25,0.25,0.38,0.5,94.6,79,16,0.569713565,0.477438541,39.77346165,6821.8081
873,12.5,0.25,0.25,0.38,0.5,69.7,58.2,16,0.490965919,0.431946288,35.34533175,5932.23909
874,12.5,0.25,0.25,0.38,0.38,86,71.9,16,0.596036127,0.497740882,41.19101338,7451.72563
875,25,0.5,0.25,0.38,0.5,77.4,64.7,24,0.527591617,0.463020067,37.62977375,6589.27898
876,12.5,0.25,0.25,0.63,0.75,94.6,79,1,0.579179402,0.478135139,39.09688443,7231.02778
877,12.5,0.25,0.25,0.5,0.63,86,71.9,16,0.511413154,0.472979714,38.54027918,6521.29112
878,12.5,0.25,0.25,0.38,0.75,69.7,58.2,34,0.500189951,0.424371416,36.11395452,6034.64214
879,12.5,0.25,0.25,0.38,0.5,77.4,64.7,1,0.551234401,0.471161461,38.70569591,6998.37875
880,25,0.5,0.25,0.63,0.5,69.7,58.2,1,0.566319234,0.44549439,38.8469565,7554.4683
881,25,0.5,0.25,0.75,0.63,94.6,79,24,0.555210358,0.471828735,38.63984283,7064.16978
882,25,0.5,0.38,0.38,0.75,69.7,58.2,16,0.622622866,0.408444733,31.6656798,8007.20621
883,12.5,0.25,0.25,0.75,0.75,94.6,79,16,0.538550337,0.471181911,37.7247238,6583.45789
884,12.5,0.25,0.25,0.5,0.63,69.7,58.2,1,0.500207249,0.43226586,35.17991165,6529.98232
885,12.5,0.25,0.25,0.25,0.25,94.6,79,34,0.437424398,0.416085184,33.74349354,5446.69747
886,12.5,0.25,0.25,0.38,0.75,77.4,64.7,16,0.582482579,0.483047479,41.05919357,7174.6649
887,25,0.5,0.25,0.38,0.75,77.4,64.7,24,0.555210358,0.473088807,38.6454264,6754.44894
888,25,0.25,0.25,0.75,0.63,77.4,64.7,34,0.391964935,0.393781726,30.27497178,4068.35066
889,25,0.5,0.38,0.63,0.63,94.6,79,34,0.403217329,0.409033913,31.37824094,4125.75712
890,12.5,0.25,0.25,0.5,0.63,86,71.9,16,0.575589557,0.488638858,39.7419306,7406.90248
891,25,0.25,0.25,0.25,0.25,69.7,58.2,34,0.320417393,0.377596581,30.54630597,2384.72892
892,25,0.5,0.25,0.63,0.75,86,71.9,24,0.488485703,0.442789316,35.18441174,5535.05665
893,12.5,0.25,0.25,0.5,0.5,69.7,58.2,1,0.627442488,0.511116064,44.56159301,8254.12654
894,25,0.5,0.38,0.5,0.63,69.7,58.2,1,0.535364693,0.449545727,35.48700839,6412.47345
895,12.5,0.25,0.25,0.38,0.38,77.4,64.7,16,0.641441521,0.530933466,45.718182,8711.20896
896,25,0.5,0.38,0.38,0.63,94.6,79,16,0.507748656,0.452680279,35.52053432,6251.61184
897,25,0.5,0.25,0.5,0.75,77.4,64.7,1,0.501777434,0.452680279,36.97636061,6574.18247
898,12.5,0.25,0.25,0.25,0.25,94.6,79,24,0.408178454,0.409760795,30.7671091,4201.43596
899,12.5,0.25,0.38,0.5,0.75,94.6,79,16,0.575237945,0.48651762,39.47432437,7230.1325
900,12.5,0.25,0.25,0.63,0.63,77.4,64.7,24,0.574989422,0.481279313,39.64669117,7152.13259
901,25,0.25,0.25,0.5,0.75,94.6,79,16,0.520180895,0.488638858,39.23411184,7219.76039
902,25,0.5,0.25,0.75,0.63,94.6,79,1,0.423038771,0.401067837,32.16492155,5601.20531
903,25,0.5,0.25,0.75,0.63,94.6,79,34,0.46555863,0.413625114,33.3406292,5200.57849
904,12.5,0.25,0.25,0.63,0.75,69.7,58.2,24,0.553671368,0.455135389,36.97636061,6575.59267
905,12.5,0.25,0.25,0.63,0.63,94.6,79,16,0.587319779,0.491124144,40.86547798,7162.43364
906,12.5,0.25,0.25,0.38,0.63,86,71.9,16,0.523845567,0.460305334,37.78237359,6315.23321
907,12.5,0.25,0.25,0.25,0.25,77.4,64.7,16,0.481472551,0.436459223,34.70788043,5347.51393
908,25,0.5,0.25,0.5,0.75,77.4,64.7,34,0.533393093,0.466474508,37.21402074,6543.97182
909,12.5,0.25,0.25,0.5,0.75,77.4,64.7,34,0.37680364,0.39617025,30.12462708,3748.46547
910,12.5,0.25,0.25,0.38,0.63,94.6,79,24,0.464824509,0.402362581,31.64262219,4913.22292
911,25,0.25,0.25,0.25,0.25,94.6,79,1,0.315500071,0.378528127,27.71977169,3049.26032
912,25,0.5,0.25,0.63,0.75,77.4,64.7,24,0.578556842,0.486889324,40.17821466,7451.72563
913,25,0.5,0.25,0.38,0.5,69.7,58.2,16,0.479428479,0.418055839,33.59602928,6072.83443
914,25,0.5,0.25,0.5,0.63,94.6,79,34,0.404446048,0.402182926,31.39456852,4167.45124
915,25,0.5,0.25,0.63,0.5,77.4,64.7,34,0.429000524,0.460627726,31.90931611,4568.67217
916,37.5,0.25,0.25,0.25,0.25,86,71.9,1,0.383581787,0.375616334,30.84228529,3866.79896
917,25,0.5,0.25,0.38,0.63,69.7,58.2,34,0.449875425,0.398255665,31.79835142,5299.66133
918,12.5,0.25,0.25,0.63,0.75,94.6,79,16,0.483805569,0.442535249,34.76957798,5428.10602
919,25,0.5,0.25,0.75,0.5,69.7,58.2,34,0.498793068,0.431201835,35.14089874,5649.03716
920,12.5,0.25,0.25,0.25,0.25,69.7,58.2,24,0.400444088,0.405525072,31.92881551,4560.22361
921,25,0.5,0.38,0.38,0.63,94.6,79,34,0.426064568,0.42018755,31.10924166,4247.50893
922,12.5,0.25,0.25,0.25,0.63,86,71.9,1,0.563746659,0.471650366,39.33777176,6869.7776
923,12.5,0.25,0.25,0.25,0.25,77.4,64.7,16,0.527724447,0.465952713,37.5842361,6277.16867
924,12.5,0.25,0.25,0.25,0.25,86,71.9,16,0.622622866,0.527895672,45.47943333,8440.96097
925,25,0.25,0.25,0.25,0.38,77.4,64.7,24,0.497503209,0.450786211,33.84753901,5942.42162
926,12.5,0.25,0.38,0.5,0.75,94.6,79,1,0.600340952,0.50146507,42.18519611,7675.96352
927,25,0.5,0.38,0.5,0.75,77.4,64.7,1,0.596036127,0.490981116,41.36494454,7570.48492
928,25,0.5,0.25,0.38,0.75,86,71.9,16,0.527308548,0.460305334,37.96686445,6320.96112
929,25,0.5,0.38,0.38,0.75,94.6,79,16,0.50476135,0.452680279,36.61704886,6806.49269
930,12.5,0.25,0.25,0.5,0.63,69.7,58.2,1,0.645475445,0.494864674,41.21921269,8157.23694
931,25,0.5,0.25,0.5,0.63,86,71.9,16,0.542170237,0.478935976,38.1617313,6515.26145
932,12.5,0.25,0.25,0.38,0.38,77.4,64.7,1,0.508275418,0.452680279,36.31013579,6335.29639
933,12.5,0.25,0.25,0.63,0.63,86,71.9,24,0.54259037,0.463020067,38.34178123,6628.76363
934,25,0.25,0.38,0.38,0.75,69.7,58.2,16,0.542163836,0.476836137,39.46947609,6903.87339
935,37.5,0.75,0.25,0.25,0.25,69.7,58.2,34,0.349908358,0.35441498,28.76356526,3502.08292
936,25,0.5,0.25,0.5,0.75,77.4,64.7,16,0.581744319,0.487527885,40.54647951,7163.9441
937,12.5,0.25,0.25,0.38,0.5,77.4,64.7,34,0.425493214,0.42018755,31.78225878,4305.51182
938,12.5,0.25,0.25,0.5,0.75,69.7,58.2,16,0.466974086,0.423988312,33.08835541,5639.4452
939,25,0.5,0.38,0.38,0.75,77.4,64.7,1,0.498952193,0.449306369,36.81673726,6060.64149
940,25,0.5,0.25,0.75,0.5,86,71.9,16,0.54259037,0.465041445,37.54210856,6412.47345
941,12.5,0.25,0.38,0.5,0.75,94.6,79,1,0.586303901,0.484349504,40.03764422,7127.16457
942,25,0.5,0.38,0.5,0.5,69.7,58.2,34,0.363726236,0.395435754,29.55801912,3712.99786
943,25,0.5,0.38,0.63,0.5,69.7,58.2,34,0.566319234,0.437265704,36.31114278,7028.6735
944,25,0.5,0.25,0.63,0.63,69.7,58.2,16,0.595065655,0.495006371,40.18721608,7570.60862
945,12.5,0.25,0.25,0.5,0.5,69.7,58.2,16,0.597060641,0.497916665,38.45140921,7560.20565
946,12.5,0.25,0.38,0.38,0.5,86,71.9,34,0.458581988,0.409760795,31.86773783,5876.96001
947,12.5,0.25,0.25,0.25,0.25,86,71.9,24,0.520587192,0.436459223,36.69768447,6102.76282
948,25,0.5,0.25,0.63,0.5,77.4,64.7,16,0.598645112,0.495006371,41.52614508,7690.1749
949,12.5,0.25,0.25,0.25,0.63,69.7,58.2,1,0.582954458,0.490357436,41.36494454,7690.1749
950,12.5,0.25,0.25,0.38,0.5,69.7,58.2,1,0.495987728,0.424902006,35.13495468,5735.13303
951,25,0.5,0.25,0.5,0.5,77.4,64.7,16,0.542170237,0.469978321,37.54210856,6102.76282
952,12.5,0.25,0.25,0.75,0.75,94.6,79,1,0.582482579,0.488527456,40.22738685,6860.39643
953,12.5,0.25,0.25,0.5,0.5,86,71.9,1,0.52332906,0.465041445,37.81761708,6235.45278
954,25,0.5,0.38,0.5,0.5,94.6,79,24,0.564794821,0.482118713,39.22848885,6671.07264
955,12.5,0.25,0.25,0.38,0.63,86,71.9,1,0.544066693,0.461179325,37.02918026,7235.77564
956,25,0.5,0.25,0.75,0.5,77.4,64.7,24,0.498952193,0.459464772,36.28998253,6299.22636
957,12.5,0.25,0.38,0.38,0.63,86,71.9,16,0.607679197,0.500647106,43.93700206,8605.19995
958,12.5,0.25,0.25,0.38,0.5,94.6,79,24,0.620391949,0.511116064,43.00334146,8090.41713
959,25,0.5,0.38,0.5,0.5,77.4,64.7,1,0.566076664,0.481349777,39.91734321,7022.18973
960,25,0.5,0.38,0.5,0.75,86,71.9,16,0.542163836,0.466492143,37.44734554,6412.47345
961,25,0.5,0.25,0.5,0.5,77.4,64.7,34,0.442693354,0.419747673,31.44274436,4830.95981
962,25,0.5,0.25,0.63,0.75,86,71.9,24,0.442693354,0.429150584,33.23980604,4924.35736
963,25,0.5,0.38,0.38,0.5,86,71.9,1,0.494584864,0.444703745,35.55753695,6026.06365
964,12.5,0.25,0.25,0.63,0.63,69.7,58.2,16,0.521414646,0.438095887,37.52274536,6244.19576
965,25,0.5,0.25,0.38,0.5,69.7,58.2,24,0.506793789,0.429710486,35.8744954,5811.21147
966,25,0.5,0.25,0.5,0.75,77.4,64.7,24,0.460126356,0.470719472,33.52074419,5428.10602
967,25,0.25,0.25,0.25,0.25,86,71.9,34,0.399362246,0.399556226,31.90931611,4310.6254
968,12.5,0.25,0.25,0.5,0.5,94.6,79,24,0.407072571,0.401236607,32.85641894,4162.76156
969,25,0.5,0.25,0.63,0.63,94.6,79,16,0.401537849,0.399556226,30.7671091,4201.43596
970,25,0.5,0.25,0.75,0.5,77.4,64.7,24,0.520180895,0.460322355,42.79905453,7639.54789
971,12.5,0.25,0.38,0.63,0.75,86,71.9,1,0.627442488,0.519455977,44.62396561,8109.2305
972,37.5,0.25,0.25,0.25,0.25,86,71.9,34,0.380852104,0.394461774,30.79374092,3826.17226
973,12.5,0.25,0.38,0.5,0.63,94.6,79,1,0.62809913,0.514790079,43.67027165,8562.37077
974,12.5,0.25,0.25,0.5,0.5,86,71.9,24,0.51884433,0.460305334,37.97024343,6320.96112
975,12.5,0.25,0.25,0.63,0.75,69.7,58.2,1,0.531583632,0.449306369,37.33160636,6643.9019
976,25,0.5,0.38,0.38,0.75,94.6,79,34,0.46082121,0.431122059,32.81579359,5402.48408
977,25,0.5,0.25,0.63,0.5,69.7,58.2,34,0.342841074,0.38126925,27.43820263,3049.26032
978,12.5,0.25,0.25,0.5,0.75,86,71.9,1,0.622622866,0.520974303,44.99434918,8538.462
979,12.5,0.25,0.25,0.38,0.5,77.4,64.7,24,0.49368953,0.449545727,35.48700839,5735.13303
